,title,company,location,salary,date,hyperlink,glassdoor_link,stars,sector,num_employees
0,Lead Software Engineer,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 1 day ago,https://www.indeed.com/rc/clk?jk=6a413524a093f48d&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
1,Senior Lead Software Engineer,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 2 days ago,https://www.indeed.com/rc/clk?jk=21d3318fb376bcc4&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
2,Data Scientist,Reveille Technologies,"Philadelphia, PA 19103 
(Logan Square area)",$50 - $55 an hour,Posted 2 days ago,https://www.indeed.com/company/Reveille-Technologies/jobs/Data-Scientist-acd34a856e443ec3?fccid=dd5e469af29f51f3&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Reveille-Technologies-EI_IE386448.11,32.htm",3.3,Information Technology Support Services,1 to 50 Employees
3,AWS / Java Software Engineer III,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 2 days ago,https://www.indeed.com/rc/clk?jk=4a3429027b56809b&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
4,Artificial Intelligence Sales Leader,Deloitte,"Philadelphia, PA",,Posted 6 days ago,https://www.indeed.com/rc/clk?jk=dbcc2ca8a1ec9791&fccid=9e215d88a6b33622&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Deloitte-EI_IE2763.11,19.htm",4.0,Accounting & Tax,10K+ Employees
5,Cloud / Java Software Engineer II,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 6 days ago,https://www.indeed.com/rc/clk?jk=73409f5f88828b53&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
6,Senior Data Engineer,Velocity Black,"Hybrid remote in Wilmington, DE",,Posted 6 days ago,https://www.indeed.com/rc/clk?jk=fdb09424b8afd650&fccid=b85c5070c3d3d8c8&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Velocity-Black-EI_IE961384.11,25.htm",3.7,Internet & Web Services,1 to 50 Employees
7,Machine Learning Engineer,Combined Insurance,"Philadelphia, PA",,Posted 8 days ago,https://www.indeed.com/rc/clk?jk=491fd68a043ae577&fccid=c5aca6a2aeb9305f&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Combined-Insurance-EI_IE14569.11,29.htm",3.4,Insurance Carriers,
8,AI/ML Machine Learning Engineer - Early Career,Lockheed Martin Corporation,"King of Prussia, PA",,Posted 9 days ago,https://www.indeed.com/rc/clk?jk=4e42572c63ee991d&fccid=aeb15e43a6800b9d&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Lockheed-Martin-Corp-EI_IE8042645.11,31.htm",3.7,Aerospace & Defense,
9,Machine Learning Engineer,Chubb,"Philadelphia, PA","$71,500 - $115,000 a year",Posted 13 days ago,https://www.indeed.com/rc/clk?jk=3375c995bd8236ea&fccid=a4b25052cb0c9989&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Chubb-EI_IE150.11,16.htm",3.7,Insurance Carriers,10K+ Employees
10,AI/ML Machine Learning Engineer - Early Career,Lockheed Martin,"King of Prussia, PA 19406",,Posted 9 days ago,https://www.indeed.com/rc/clk?jk=b1b70799d5b1c724&fccid=aeb15e43a6800b9d&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Lockheed-Martin-EI_IE404.11,26.htm",4.2,Aerospace & Defense,10K+ Employees
11,Java with AWS/Cloud Software Engineer II,JPMorgan Chase & Co,"Wilmington, DE 19801 
(Loma area)",,Posted 11 days ago,https://www.indeed.com/rc/clk?jk=488cd4c824432468&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
12,Python with PySpark Software Engineer III,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 9 days ago,https://www.indeed.com/rc/clk?jk=a29f0842587adf23&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
13,ML Engineer 3,Effectv,"Philadelphia, PA 19103","$87,597 - $205,306 a year",Posted 10 days ago,https://www.indeed.com/rc/clk?jk=a03b422b9b56084b&fccid=bc062cedf5ad5a80&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Effectv-EI_IE239892.11,18.htm",3.5,Advertising & Public Relations,1K to 5K Employees
14,Lead Software Engineer,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 8 days ago,https://www.indeed.com/rc/clk?jk=160d4d1551943996&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
15,AI/ML with Java/Python Software Engineer III,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 9 days ago,https://www.indeed.com/rc/clk?jk=b005b0dcae513d61&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
16,Data Scientist with NLP & Python Exp,Callibus Inc,"Wilmington, DE 19801 
(Southbridge area)",,Active 4 days ago,https://www.indeed.com/company/Aevon-Inc/jobs/Data-Scientist-6262b7f0259cb87f?fccid=414627a7e77b0eb4&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Callibus-EI_IE3967811.11,19.htm",-1.0,,
17,"Founding Machine Learning Engineer, Seed Startup",Recruiting From Scratch,"Philadelphia, PA 19104 
(Belmont area)","$130,000 - $180,000 a year",Posted 19 days ago,https://www.indeed.com/rc/clk?jk=19ed79889677b099&fccid=09e02654c2f26bbd&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Recruiting-from-Scratch-EI_IE2496828.11,34.htm",4.0,Staffing & Subcontracting,1 to 50 Employees
18,Big Data Software Engineer III,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 15 days ago,https://www.indeed.com/rc/clk?jk=68b462071f0cdf56&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
19,Software Engineer III - Oracle Functional HCM Security,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 16 days ago,https://www.indeed.com/rc/clk?jk=5c88e7dff164814e&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
20,Lead Software Engineer - Risk/ Data,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 16 days ago,https://www.indeed.com/rc/clk?jk=3f97da1d35255879&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
21,Java Software Engineer III,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 14 days ago,https://www.indeed.com/rc/clk?jk=e5d03a22ccd70cd7&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
22,"Senior Software Engineer, Technical Lead",Draynow Inc,"Hybrid remote in Conshohocken, PA 19428",,Posted 14 days ago,https://www.indeed.com/rc/clk?jk=4934d8e47f1ed790&fccid=87a4a39093ef6911&vjs=3,"https://www.glassdoor.com/Overview/Working-at-DrayNow-EI_IE2853253.11,18.htm",1.5,Taxi & Car Services,1 to 50 Employees
23,Java React Lead Software Engineer,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 15 days ago,https://www.indeed.com/rc/clk?jk=5d82f62bad9ba987&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
24,Lead Software Engineer - FullStack,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 18 days ago,https://www.indeed.com/rc/clk?jk=32b0f1b711b6383a&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
25,Sr. Data Scientist,Xylem,"Philadelphia, PA 19103","$115,000 - $130,000 a year",Posted 17 days ago,https://www.indeed.com/rc/clk?jk=5d1b02f339af07b0&fccid=68ec8a8ee6cf5ac6&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Xylem-EI_IE494852.11,16.htm",3.7,Machinery Manufacturing,10K+ Employees
26,Senior Robotics Perception and Machine Learning Engineer,Burro,"Philadelphia, PA",,Posted 27 days ago,https://www.indeed.com/rc/clk?jk=5dc1bd4a11c9048c&fccid=9e330f8287092fa2&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Burro-EI_IE1030439.11,16.htm",3.4,,1 to 50 Employees
27,Senior Robotics Perception and Machine Learning Engineer,Augean Robotics,"Philadelphia, PA",,Posted 27 days ago,https://www.indeed.com/rc/clk?jk=c523b0bb2978dfa8&fccid=d9ed13c2c6ed773e&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Augean-Robotics-EI_IE3156997.11,26.htm",5.0,,1 to 50 Employees
28,Senior AI Engineer,MedRisk LLC,"King of Prussia, PA 19406",,Posted 22 days ago,https://www.indeed.com/rc/clk?jk=af6758ae5ff21b56&fccid=0052e4aea9c87981&vjs=3,"https://www.glassdoor.com/Overview/Working-at-MedRisk-EI_IE296137.11,18.htm",2.8,Health Care Services & Hospitals,501 to 1K Employees
29,Data Engineer/Sr. Data Engineer (Remote) - EVOLVE Intelligence,DNV,"Remote in Chalfont, PA","$105,000 - $150,000 a year",Posted 22 days ago,https://www.indeed.com/rc/clk?jk=63466c65ed9650db&fccid=621355d16566db19&vjs=3,"https://www.glassdoor.com/Overview/Working-at-DNV-EI_IE1347743.11,14.htm",4.0,Energy & Utilities,10K+ Employees
30,Java Python Software Engineer III,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 25 days ago,https://www.indeed.com/rc/clk?jk=bfc1583a3f736b8b&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
31,"Lead Data Engineer, (Python, Java or Scala)",Velocity Black,"Wilmington, DE",,Posted 23 days ago,https://www.indeed.com/rc/clk?jk=abea8ace34873d69&fccid=b85c5070c3d3d8c8&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Velocity-Black-EI_IE961384.11,25.htm",3.7,Internet & Web Services,1 to 50 Employees
32,Lead Software Engineer,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 27 days ago,https://www.indeed.com/rc/clk?jk=0c7cc896f371c449&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
33,"Lead Data Engineer, (Python, Java or Scala)",Capital One,"Wilmington, DE",,Posted 22 days ago,https://www.indeed.com/rc/clk?jk=92761cff1a50d863&fccid=b85c5070c3d3d8c8&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Capital-One-EI_IE3736.11,22.htm",4.1,Banking & Lending,10K+ Employees
34,Machine Learning Engineer,Cadent,"Philadelphia, PA 19102 
(City Center West area)",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=3d6cfa1a866d93d2&fccid=760d03f6c6eab030&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Cadent-EI_IE1268793.11,17.htm",3.3,Advertising & Public Relations,201 to 500 Employees
35,Cloud / Java Software Engineer III,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=cc66ed6acbacc2de&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
36,Big Data AWS Software Engineer III,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 28 days ago,https://www.indeed.com/rc/clk?jk=8b47f798cd0409d7&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
37,Senior Lead Software Engineer - Full Stack / React,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 28 days ago,https://www.indeed.com/rc/clk?jk=74c4e813897686b3&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
38,Large Language Model Data Scientist,Deloitte,"Philadelphia, PA",,Posted 29 days ago,https://www.indeed.com/rc/clk?jk=2471f8cc6b9f9cc9&fccid=9e215d88a6b33622&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Deloitte-EI_IE2763.11,19.htm",4.0,Accounting & Tax,10K+ Employees
39,Lead Full Stack Software Engineer (remote),Kroll Bond Rating Agency,"Remote in Dresher, PA",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=ee8d07822e80d1e8&fccid=2523b0509cf688d6&vjs=3,"https://www.glassdoor.com/Overview/Working-at-KBRA-EI_IE752531.11,15.htm",4.2,Research & Development,201 to 500 Employees
40,Software Engineer III - AI/ML Platform Engineering,JPMorgan Chase & Co,"Wilmington, DE 19803","$128,250 - $180,000 a year",Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=339bae5a5d4b604e&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
41,"Software Engineer II, Public Cloud",JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=f513f67d099b7cd9&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
42,"Experienced Associate, Software Engineer (Python/SQL)",PRICE WATERHOUSE COOPERS,"Philadelphia, PA 19103 
(Logan Square area)",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=a075defdc865022e&fccid=5e964c4afc56b180&vjs=3,"https://www.glassdoor.com/Overview/Working-at-PwC-EI_IE8450.11,14.htm",3.9,Accounting & Tax,10K+ Employees
43,"Software Engineer III, IoT and Java",JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=29d58992f2d7cf78&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
